"","Company","Ticker","Local Price","Shares Outstanding","Market Cap"
"94","Caterpillar Inc","CAT","77.72","582,322,000.00","45,258,065,840.00"
"95","Celgene Corp","CELG","103.41","781,665,000.00","80,831,977,650.00"
"96","Centene Corp","CNC","61.96","169,943,348.00","10,529,689,842.08"
"97","Centerpoint Energy Inc","CNP","21.45","430,272,000.00","9,229,334,400.00"
"98","CenturyLink Inc","CTL","30.95","543,853,000.00","16,832,250,350.00"
"99","Cerner Corp","CERN","56.14","340,017,000.00","19,088,554,380.00"
"100","Chesapeake Energy Corp","CHK","6.87","663,358,000.00","4,557,269,460.00"
"101","Chevron Corp","CVX","102.18","1,883,156,000.00","192,420,880,080.00"
"102","Chipotle Mexican Grill  Inc.","CMG","420.97","30,044,000.00","12,647,622,680.00"
"103","Chubb Limited","CB","117.86","460,846,000.00","54,315,309,560.00"
"104","Church & Dwight Co","CHD","92.70","129,725,000.00","12,025,507,500.00"
"105","Cigna Corporation","CI","138.54","255,766,000.00","35,433,821,640.00"
"106","Cimarex Energy Co","XEC","108.88","94,820,000.00","10,324,001,600.00"
"107","Cincinnati Financial Corp","CINF","66.01","164,340,000.00","10,848,083,400.00"
"108","Cintas Corp","CTAS","89.78","108,130,000.00","9,707,911,400.00"
"109","Cisco Systems Inc","CSCO","27.49","5,032,121,000.00","138,333,006,290.00"
"110","Citigroup Inc","C","46.28","2,948,120,000.00","136,438,993,600.00"
"111","Citizens Financial Group  Inc","CFG","22.85","527,812,000.00","12,060,504,200.00"
"112","Citrix Systems Inc","CTXS","81.84","153,980,000.00","12,601,723,200.00"
"113","Clorox Co","CLX","125.23","129,446,000.00","16,210,522,580.00"
"114","Coach Inc","COH","40.27","277,696,000.00","11,182,817,920.00"
"115","Coca-Cola Co","KO","44.80","4,329,498,000.00","193,961,510,400.00"
"116","Coca-Cola Enterprises","CCE","52.48","227,338,000.00","11,930,698,240.00"
"117","Cognizant Tech Solutions  Corp","CTSH","58.37","609,120,000.00","35,554,334,400.00"
"118","Colgate-Palmolive Co","CL","70.92","892,739,000.00","63,313,049,880.00"
"119","Columbia Pipeline Group","CPGX","25.62","399,841,000.00","10,243,926,420.00"
"120","Comcast Corp A","CMCSA","60.76","2,432,954,000.00","147,826,285,040.00"
"121","Comerica Inc (MI)","CMA","44.40","174,878,000.00","7,764,583,200.00"
"122","ConAgra Foods Inc","CAG","44.56","434,130,000.00","19,344,832,800.00"
"123","Concho Resources Inc","CXO","116.17","129,138,000.00","15,001,961,460.00"
"124","ConocoPhillips","COP","47.79","1,236,203,000.00","59,078,141,370.00"
"125","Consolidated Edison Inc","ED","74.60","293,589,000.00","21,901,739,400.00"
"126","Constellation Brands Inc  A","STZ","156.06","175,887,000.00","27,448,925,220.00"
"127","Corning Inc","GLW","18.67","1,112,837,000.00","20,776,666,790.00"
"128","Costco Wholesale Corp","COST","148.13","439,777,000.00","65,144,167,010.00"
"129","Crown Castle Intl Corp","CCI","86.88","333,771,000.00","28,998,024,480.00"
"130","Cummins Inc","CMI","117.03","174,321,000.00","20,400,786,630.00"
"131","DTE Energy Co","DTE","89.16","179,476,000.00","16,002,080,160.00"
"132","DaVita HealthCare  Partners Inc","DVA","73.90","209,754,000.00","15,500,820,600.00"
"133","Danaher Corp","DHR","96.75","687,155,000.00","66,482,246,250.00"
"134","Darden Restaurants Inc","DRI","62.25","128,236,000.00","7,982,691,000.00"
"135","Deere & Co","DE","84.11","315,326,000.00","26,522,069,860.00"
"136","Delphi Automotive PLC","DLPH","73.63","277,534,000.00","20,434,828,420.00"
"137","Delta Air Lines","DAL","41.67","778,510,000.00","32,440,511,700.00"
"138","Dentsply Sirona Inc","XRAY","59.60","241,274,000.00","14,379,930,400.00"
"139","Devon Energy Corp","DVN","34.68","510,300,000.00","17,697,204,000.00"
"140","Diamond Offshore Drilling","DO","24.26","137,159,000.00","3,327,477,340.00"
"141","Discover Financial  Services","DFS","56.27","414,201,000.00","23,307,090,270.00"
"142","Discovery Communications  Inc A","DISCA","27.31","150,093,000.00","4,099,039,830.00"
"143","Discovery Communications  Inc C","DISCK","26.78","253,177,000.00","6,780,080,060.00"
"144","Dollar General Corp","DG","81.91","290,935,000.00","23,830,485,850.00"
"145","Dollar Tree Inc","DLTR","79.71","234,796,000.00","18,715,589,160.00"
"146","Dominion Resources Inc","D","71.47","596,419,000.00","42,626,065,930.00"
"147","Dover Corp","DOV","65.70","155,009,000.00","10,184,091,300.00"
"148","Dow Chemical","DOW","52.61","1,117,112,000.00","58,771,262,320.00"
"149","Dr Pepper Snapple Group","DPS","90.91","187,350,000.00","17,031,988,500.00"
"150","Duke Energy Corp","DUK","78.78","688,380,000.00","54,230,576,400.00"
"151","Dun & Bradstreet Corp","DNB","110.41","36,171,000.00","3,993,640,110.00"
"152","E*TRADE Financial Corp","ETFC","25.18","282,709,000.00","7,118,612,620.00"
"153","E. I. du Pont de Nemours  and Company","DD","65.91","871,681,000.00","57,452,494,710.00"
"154","EMC Corp","EMC","26.11","1,947,047,000.00","50,837,397,170.00"
"155","EOG Resources","EOG","82.62","549,883,000.00","45,431,333,460.00"
"156","EQT Corporation","EQT","70.10","159,672,000.00","11,193,007,200.00"
"157","Eastman Chemical Co","EMN","76.38","147,813,000.00","11,289,956,940.00"
"158","Eaton Corp plc","ETN","63.27","458,900,000.00","29,034,603,000.00"
"159","Ecolab Inc","ECL","114.98","296,002,000.00","34,034,309,960.00"
"160","Edison Intl","EIX","70.71","325,811,000.00","23,038,095,810.00"
"161","Edwards Lifesciences Corp","EW","106.21","214,598,000.00","22,792,453,580.00"
"162","Electronic Arts","EA","61.85","309,310,000.00","19,130,823,500.00"
"163","Emerson Electric Co","EMR","54.63","643,116,000.00","35,133,427,080.00"
"164","Endo International plc","ENDP","27.00","222,203,000.00","5,999,481,000.00"
"165","Entergy Corp","ETR","75.18","178,492,000.00","13,419,028,560.00"
"166","Equifax Inc","EFX","120.25","118,707,000.00","14,274,516,750.00"
"167","Equinix Inc","EQIX","330.35","68,900,000.00","22,761,115,000.00"
"168","Equity Residential","EQR","68.07","365,142,000.00","24,855,215,940.00"
"169","Essex Property Trust","ESS","220.45","65,412,000.00","14,420,075,400.00"
"170","Estee Lauder Cos. A","EL","95.87","221,917,000.00","21,275,182,790.00"
"171","Eversource Energy","ES","56.44","317,191,000.00","17,902,260,040.00"
"172","Exelon Corp","EXC","35.09","919,925,000.00","32,280,168,250.00"
"173","Expedia","EXPE","115.77","137,780,000.00","15,950,790,600.00"
"174","Expeditors Intl of WA Inc","EXPD","49.61","182,102,000.00","9,034,080,220.00"
"175","Express Scripts Holding  Co.","ESRX","73.73","632,803,000.00","46,656,565,190.00"
"176","Extra Space Storage Inc","EXR","84.95","125,054,000.00","10,623,337,300.00"
"177","Exxon Mobil Corp","XOM","88.40","4,152,757,000.00","367,103,718,800.00"
"178","F5 Networks Inc","FFIV","104.75","68,754,000.00","7,201,981,500.00"
"179","FLIR Systems Inc","FLIR","30.21","137,559,000.00","4,155,657,390.00"
"180","FMC Corp","FMC","43.26","133,656,000.00","5,781,958,560.00"
"181","FMC Technologies Inc","FTI","30.49","226,906,000.00","6,918,363,940.00"
"182","Facebook Inc A","FB","117.58","2,294,940,000.00","269,839,045,200.00"
"183","Fastenal Co","FAST","46.79","288,522,000.00","13,499,944,380.00"
"184","FedEx Corp","FDX","165.11","275,615,000.00","45,506,792,650.00"
"185","Federal Realty Invt Trust","FRT","152.08","69,670,000.00","10,595,413,600.00"
"186","Fidelity National  Information","FIS","65.80","324,816,000.00","21,372,892,800.00"
"187","Fifth Third Bancorp (OH)","FITB","18.31","783,231,000.00","14,340,959,610.00"
"188","First Solar Inc","FSLR","55.84","101,768,000.00","5,682,725,120.00"
"189","FirstEnergy Corp","FE","32.59","423,651,000.00","13,806,786,090.00"
"190","Fiserv Inc","FISV","97.72","222,937,000.00","21,785,403,640.00"
"191","Flowserve Corp","FLS","48.81","130,070,000.00","6,348,716,700.00"
"192","Fluor Corp","FLR","54.66","138,918,000.00","7,593,257,880.00"
"193","Foot Locker Inc","FL","61.44","137,262,000.00","8,433,377,280.00"
"194","Ford Motor Co","F","13.56","3,898,661,000.00","52,865,843,160.00"
"195","Franklin Resources Inc","BEN","37.34","592,646,000.00","22,129,401,640.00"
"196","Freeport-McMoRan Inc","FCX","14.00","1,251,850,000.00","17,525,900,000.00"
"197","Frontier Communications  Corp","FTR","5.56","1,168,179,000.00","6,495,075,240.00"
"198","Gap Inc","GPS","23.18","397,000,000.00","9,202,460,000.00"
"199","Garmin Ltd","GRMN","42.63","189,722,000.00","8,087,848,860.00"
"200","General Dynamics","GD","140.52","311,162,000.00","43,724,484,240.00"
"201","General Electric Co","GE","30.75","9,330,607,000.00","286,916,165,250.00"
"202","General Growth Properties  Inc","GGP","28.03","882,397,000.00","24,733,587,910.00"
"203","General Mills Inc","GIS","61.34","593,345,000.00","36,395,782,300.00"
"204","General Motors Company","GM","31.80","1,544,493,000.00","49,114,877,400.00"
"205","Genuine Parts Co","GPC","95.97","149,516,000.00","14,349,050,520.00"
"206","Gilead Sciences Inc","GILD","88.21","1,366,846,000.00","120,569,485,660.00"
"207","Global Payments Inc","GPN","72.18","154,087,893.00","11,122,064,116.74"
"208","Goldman Sachs Group Inc","GS","164.11","422,350,000.00","69,311,858,500.00"
"209","Goodyear Tire &  Rubber Co","GT","28.97","267,042,000.00","7,736,206,740.00"
"210","Grainger W.W. Inc","GWW","234.52","61,729,000.00","14,476,685,080.00"
"211","HCA Holdings Inc","HCA","80.62","396,958,000.00","32,002,753,960.00"
"212","HCP Inc","HCP","33.83","465,532,000.00","15,748,947,560.00"
"213","HP Inc","HPQ","12.27","1,726,658,000.00","21,186,093,660.00"
"214","Halliburton Co","HAL","41.31","858,342,000.00","35,458,108,020.00"
"215","Hanesbrands Inc","HBI","29.03","391,671,000.00","11,370,209,130.00"
"216","Harley-Davidson Inc","HOG","47.83","184,026,000.00","8,801,963,580.00"
"217","Harman Intl Industries  Inc","HAR","76.76","71,142,000.00","5,460,859,920.00"
"218","Harris Corp","HRS","80.01","124,654,000.00","9,973,566,540.00"
"219","Hartford Finl Services  Group","HIG","44.38","396,676,000.00","17,604,480,880.00"
"220","Hasbro Inc","HAS","84.64","124,795,000.00","10,562,648,800.00"
"221","Helmerich & Payne Inc","HP","66.12","108,011,000.00","7,141,687,320.00"
"222","Hershey Foods Corp","HSY","93.11","155,900,000.00","14,515,849,000.00"
"223","Hess Corp","HES","59.62","315,240,000.00","18,794,608,800.00"
"224","Hewlett Packard  Enterprise Co","HPE","16.66","1,716,564,000.00","28,597,956,240.00"
"225","Hologic Inc","HOLX","33.59","283,818,000.00","9,533,446,620.00"
"226","Home Depot Inc","HD","133.89","1,267,881,000.00","169,756,587,090.00"
"227","Honeywell Intl Inc","HON","114.27","769,323,000.00","87,910,539,210.00"
"228","Hormel Foods Corp","HRL","38.55","529,918,000.00","20,428,338,900.00"
"229","Horton D.R. Inc","DHI","30.06","369,769,000.00","11,115,256,140.00"
"230","Host Hotels & Resorts  Inc","HST","15.82","752,278,000.00","11,901,037,960.00"
"231","Humana Inc","HUM","177.07","148,303,000.00","26,260,012,210.00"
"232","Hunt J.B. Transport  Services","JBHT","82.88","112,774,000.00","9,346,709,120.00"
"233","Huntington Bancshares  (OH)","HBAN","10.06","795,025,000.00","7,997,951,500.00"
"234","Illinois Tool Works Inc","ITW","104.52","363,767,000.00","38,020,926,840.00"
"235","Illumina Inc","ILMN","134.99","147,000,000.00","19,843,530,000.00"
"236","Ingersoll-Rand Plc","IR","65.54","256,848,000.00","16,833,817,920.00"
"237","Intel Corp","INTC","30.28","4,724,000,000.00","143,042,720,000.00"
"238","Intercontinental Exchange  Inc","ICE","240.03","118,888,000.00","28,536,686,640.00"
"239","Interpublic Group Cos","IPG","22.94","402,130,000.00","9,224,862,200.00"
"240","Intl Business Machines  Corp","IBM","145.94","960,881,000.00","140,230,973,140.00"
"241","Intl Flavors &  Fragrances","IFF","119.47","79,868,000.00","9,541,829,960.00"
"242","Intl Paper Co","IP","43.27","411,158,000.00","17,790,806,660.00"
"243","Intuit Inc","INTU","100.89","256,821,000.00","25,910,670,690.00"
"244","Intuitive Surgical Inc","ISRG","626.36","37,380,000.00","23,413,336,800.00"
"245","Invesco Ltd","IVZ","31.01","416,416,000.00","12,913,060,160.00"
"246","Iron Mountain Inc","IRM","36.53","211,508,000.00","7,726,387,240.00"
"247","JP Morgan Chase & Co","JPM","63.20","3,670,265,000.00","231,960,748,000.00"
"248","Jacobs Engineering Group  Inc","JEC","44.58","122,537,000.00","5,462,699,460.00"
"249","Johnson & Johnson","JNJ","112.08","2,759,359,000.00","309,268,956,720.00"
"250","Johnson Controls Inc","JCI","41.40","648,235,000.00","26,836,929,000.00"
"251","Juniper Networks Inc","JNPR","23.40","382,605,000.00","8,952,957,000.00"
"252","KLA-Tencor Corporation","KLAC","69.94","155,665,000.00","10,887,210,100.00"
"253","Kansas City Southern Inc","KSU","94.75","108,499,000.00","10,280,280,250.00"
"254","Kellogg Co","K","76.81","350,257,000.00","26,903,240,170.00"
"255","KeyCorp","KEY","12.29","835,606,000.00","10,269,597,740.00"
"256","Kimberly-Clark","KMB","125.19","360,900,000.00","45,181,071,000.00"
"257","Kimco Realty Corp","KIM","28.12","413,711,000.00","11,633,553,320.00"
"258","Kinder Morgan Inc","KMI","17.76","2,231,556,000.00","39,632,434,560.00"
"259","Kohl's Corp","KSS","44.30","189,820,000.00","8,409,026,000.00"
"260","Kroger Co","KR","35.39","974,723,000.00","34,495,446,970.00"
"261","L Brands Inc","LB","78.29","289,434,000.00","22,659,787,860.00"
"262","L-3 Communications  Holdings","LLL","131.53","77,819,000.00","10,235,533,070.00"
"263","Lab Corp of America Hldgs","LH","125.32","101,700,000.00","12,745,044,000.00"
"264","Lam Research Corp","LRCX","76.40","158,894,000.00","12,139,501,600.00"
"265","Legg Mason Inc","LM","32.11","107,708,000.00","3,458,503,880.00"
"266","Leggett & Platt","LEG","49.29","135,695,000.00","6,688,406,550.00"
"267","Lennar Corp A","LEN","45.31","180,112,000.00","8,160,874,720.00"
"268","Leucadia National Corp  (NY)","LUK","16.68","362,243,000.00","6,042,213,240.00"
"269","Level 3 Communications","LVLT","52.26","356,840,000.00","18,648,458,400.00"
"270","Lilly Eli & Co","LLY","75.53","1,106,093,000.00","83,543,204,290.00"
"271","Lincoln National Corp","LNC","43.45","240,957,000.00","10,469,581,650.00"
"272","Linear Technology Corp","LLTC","44.48","239,346,000.00","10,646,110,080.00"
"273","Lockheed Martin","LMT","232.38","305,487,000.00","70,989,069,060.00"
"274","Loews Corp","L","39.68","338,998,000.00","13,451,440,640.00"
"275","Lowe's Cos Inc","LOW","76.02","915,105,000.00","69,566,282,100.00"
"276","LyondellBasell Industries  N.V.","LYB","82.67","432,201,000.00","35,730,056,670.00"
"277","M&T Bank Corp","MTB","118.32","159,095,000.00","18,824,120,400.00"
"278","Macerich Co","MAC","76.08","149,150,000.00","11,347,332,000.00"
"279","Macy's Inc","M","39.59","310,300,000.00","12,284,777,000.00"
"280","Mallinckrodt plc","MNK","62.52","111,915,000.00","6,996,925,800.00"
"281","Marathon Oil Corp","MRO","14.09","843,637,000.00","11,886,845,330.00"
"282","Marathon Petroleum Corp.","MPC","39.08","529,227,000.00","20,682,191,160.00"
"283","Marriott Intl A","MAR","70.09","253,482,000.00","17,766,553,380.00"
"284","Marsh & McLennan  Companies","MMC","63.15","521,227,000.00","32,915,485,050.00"
"285","Martin Marietta Materials","MLM","169.23","64,331,000.00","10,886,735,130.00"
"286","Masco Corp","MAS","30.71","333,932,000.00","10,255,051,720.00"
"287","Mastercard Inc A","MA","96.99","1,089,482,000.00","105,668,859,180.00"
"288","Mattel Inc","MAT","31.09","340,006,000.00","10,570,786,540.00"
"289","McCormick & Co","MKC","93.78","115,370,000.00","10,819,398,600.00"
"290","McDonald's Corp","MCD","126.49","901,608,000.00","114,044,395,920.00"
"291","McKesson Corp","MCK","167.82","228,587,000.00","38,361,470,340.00"
"292","Mead Johnson Nutrition Co","MJN","87.15","186,454,000.00","16,249,466,100.00"
"293","Medtronic plc","MDT","79.15","1,406,156,000.00","111,297,247,400.00"
"294","Merck & Co Inc","MRK","54.84","2,775,259,000.00","152,195,203,560.00"
"295","Metlife Inc","MET","45.10","1,096,667,000.00","49,459,681,700.00"
"296","Michael Kors Holdings Ltd","KORS","51.66","179,431,000.00","9,269,405,460.00"
"297","Microchip Technology Inc","MCHP","48.59","213,503,927.00","10,374,155,812.93"
"298","Micron Technology Inc","MU","10.75","1,037,456,000.00","11,152,652,000.00"
"299","Microsoft Corp","MSFT","49.87","7,909,303,000.00","394,436,940,610.00"
"300","Mohawk Industries Inc","MHK","192.63","73,957,000.00","14,246,336,910.00"
"301","Molson Coors Brewing Co B","TAP","95.63","208,895,000.00","19,976,628,850.00"
"302","Mondelez International  Inc","MDLZ","42.96","1,568,858,000.00","67,398,139,680.00"
"303","Monsanto Co.","MON","93.68","440,355,000.00","41,252,456,400.00"
"304","Monster Beverage Corp New","MNST","144.22","202,920,000.00","29,265,122,400.00"
"305","Moody's Corp","MCO","95.72","194,900,000.00","18,655,828,000.00"
"306","Morgan Stanley","MS","27.06","1,958,569,000.00","52,998,877,140.00"
"307","Mosaic Co","MOS","27.99","352,516,000.00","9,866,922,840.00"
"308","Motorola Solutions Inc","MSI","75.19","174,338,000.00","13,108,474,220.00"
"309","Murphy Oil Corp","MUR","35.74","172,034,000.00","6,148,495,160.00"
"310","Mylan NV","MYL","41.71","490,688,000.00","20,466,596,480.00"
"311","NIKE Inc B","NKE","58.94","1,349,897,000.00","79,562,929,180.00"
"312","NRG Energy","NRG","15.10","314,891,000.00","4,754,854,100.00"
"313","Nasdaq Inc","NDAQ","61.71","163,888,000.00","10,113,528,480.00"
"314","National Oilwell Varco  Inc","NOV","36.04","375,801,000.00","13,543,868,040.00"
"315","Navient Corp","NAVI","13.67","342,817,000.00","4,686,308,390.00"
"316","NetApp Inc","NTAP","23.64","289,083,000.00","6,833,922,120.00"
"317","NetFlix Inc","NFLX","90.03","428,080,000.00","38,540,042,400.00"
"318","Newell Brands Inc","NWL","45.54","456,758,972.00","20,800,803,584.88"
"319","Newfield Exploration Co","NFX","36.25","198,133,000.00","7,182,321,250.00"
"320","Newmont Mining Corp","NEM","34.97","529,162,000.00","18,504,795,140.00"
"321","News Corp A","NWSA","12.42","379,983,000.00","4,719,388,860.00"
"322","News Corp B","NWS","12.96","199,630,000.00","2,587,204,800.00"
"323","NextEra Energy Inc","NEE","117.58","460,600,000.00","54,157,348,000.00"
"324","Nielsen Holdings plc","NLSN","52.14","361,879,000.00","18,868,371,060.00"
"325","Nisource Inc","NI","22.71","319,742,000.00","7,261,340,820.00"
"326","Noble Energy Inc","NBL","36.11","428,843,000.00","15,485,520,730.00"
"327","Nordstrom Inc","JWN","51.13","173,500,000.00","8,871,055,000.00"
"328","Norfolk Southern Corp","NSC","90.11","298,199,000.00","26,870,711,890.00"
"329","Northern Trust Corp (IL)","NTRS","71.08","228,984,000.00","16,276,182,720.00"
"330","Northrop Grumman Corp","NOC","206.26","180,943,000.00","37,321,303,180.00"
"331","Nucor Corp","NUE","49.78","317,941,000.00","15,827,102,980.00"
"332","Nvidia Corp","NVDA","35.53","538,000,000.00","19,115,140,000.00"
"333","O'Reilly Automotive","ORLY","262.68","97,189,000.00","25,529,606,520.00"
"334","ONEOK Inc","OKE","36.15","209,990,000.00","7,591,138,500.00"
"335","Occidental Petroleum","OXY","76.65","763,845,000.00","58,548,719,250.00"
"336","Omnicom Group","OMC","82.97","239,591,000.00","19,878,865,270.00"
"337","Oracle Corp","ORCL","39.86","4,201,220,000.00","167,460,629,200.00"
"338","Owens-Illinois Inc","OI","18.46","160,982,000.00","2,971,727,720.00"
"339","PACCAR Inc","PCAR","58.91","351,359,000.00","20,698,558,690.00"
"340","PG&E Corporation","PCG","58.20","492,830,000.00","28,682,706,000.00"
"341","PNC Finl Services Group","PNC","87.78","501,105,000.00","43,986,996,900.00"
"342","PPG Industries Inc","PPG","110.39","266,766,000.00","29,448,298,740.00"
"343","PPL Corp","PPL","37.64","673,857,000.00","25,363,977,480.00"
